,sa_5hz,PGA,rot_lin,rot_nlin
20366,4.5337814,1.3040452,0.5880395,0.5880395
20367,1.8721414,0.33255423,0.32263297,0.32263297
20368,7.9476934,1.9341861,0.80560597,0.80560597
20369,1.9266022,0.42890525,0.3644187,0.3644187
20370,4.8221444,0.77780734,0.67744751,0.67744751
20371,11.681735,6.5139923,1.4267858,1.95601
20372,5.3104413,2.4995845,0.75456744,0.75456744
20373,1.043115,0.2730025,0.17768494,0.17768494
20374,13.336617,4.7372715,1.7556186,4.49796
20375,2.6611491,1.0340989,0.43015826,0.43015826
20376,2.8398631,0.52238081,0.43006885,0.43006885
20377,10.693968,1.6167621,1.4223141,3.10681
20378,5.2040299,2.246379,0.36196822,0.36196822
20379,8.9782321,1.4432328,1.3083371,2.35184
20380,2.1597458,0.45207945,0.37488209,0.37488209
20381,13.536413,1.9999365,2.1334859,6.64721
20382,6.5332357,1.2967215,1.1210966,1.51769
20383,20.554538,3.6478518,2.6543324,7.39389
20384,0.00059493993,0.00014879331,0.079866872,0.079866872
20385,5.9416609,3.907485,0.58939687,0.58939687
20386,3.5901568,0.57403262,0.67999513,0.67999513
20387,7.805475,3.4896726,0.59005282,0.59005282
20388,4.7115555,1.061492,0.61347903,0.61347903
20389,13.031535,5.1088107,1.4630565,3.4687
20390,0.5082748,0.16127645,0.14930109,0.14930109
20391,12.034436,3.4662904,1.317406,2.55365
20392,7.8549722,1.6643825,0.89958017,0.89958017
20393,6.1785208,0.99089598,0.87031665,0.87031665
20394,3.1879607,0.4378009,0.47097491,0.47097491
20395,6.1702379,1.0984822,0.80493527,0.80493527
20396,2.2420555,0.72936395,0.40349582,0.40349582
20397,16.607264,3.2281332,1.1371933,1.55608
20398,3.9266445,3.3136258,0.60638621,0.60638621
20399,5.4885026,1.0048707,0.7855253,0.7855253
20400,3.2700685,1.6557609,0.40963501,0.40963501
20401,12.114857,4.0601687,1.8921911,2.32719
20402,2.3496816,0.59420931,0.37959899,0.37959899
20403,2.8595603,1.0181729,0.54936476,0.54936476
20404,1.2905334,0.92749608,0.19886278,0.19886278
20405,3.4911607,2.130868,0.44801787,0.44801787
